Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCaKcxkbifcCNfT0YWHS_jfg,Κλινικός Φαρμακοποιός,yes,18,1740,49,541,GR,2019-10-24T21:09:32.564458Z,1548
UCmsv2_QuaNhyebuiLvZjokQ,ApoStories,yes,19,3200,37,1224,GR,2022-03-15T09:34:00.198974Z,675
UCj1vp76vtmOPWmol8VQCVgQ,PharmaTalkGR,yes,20,1060,52,275,GR,2020-01-19T17:21:09.048316Z,1461
UCG2m2RzbxJsU-p0jNiaW6XQ,AcidsLaw,yes,21,678,10,90,GR,2019-05-11T01:58:08Z,1715
UC6P43_uL3V_BxSVkolqNYbQ,Jan Roussos,yes,22,430,6,77,GR,2010-09-13T22:32:18Z,4876
UCkzWeBdlOjxC4HgmbyOQblQ,ΕΜΕΝΑ ΡΩΤΑ,yes,23,4650,90,1817,GR,2019-12-31T16:34:34.131544Z,1480
UC6sdbGKkS3oamnjNIoaj6nA,Wisdom Capital,yes,24,1390,16,29,GR,2020-05-04T09:03:07.775993Z,1355
UChA2y_DikKJfoVByvsnAu3A,Science FREAKSion,yes,25,194,6,11,GR,2020-06-07T18:39:38.160942Z,1321
UCNI0qOojpkhsUtaQ4_2NUhQ,Osmosis from Elsevier,yes,26,3040000,1158,1553922,US,2015-01-21T15:38:24Z,3285
UCesNt4_Z-Pm41RzpAClfVcg,Armando Hasudungan,yes,27,2490000,548,1857269,AU,2007-12-25T08:05:35Z,5869
UCMRHZcgwdSE_9wbwcP8aRJw,Sam Webster,yes,28,635000,826,492314,GB,2008-04-03T09:03:11Z,5769
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,yes,29,21700000,206,25823736,DE,2013-07-09T20:17:20Z,3846
UCLErMKr6xn8Vj9LEcRwNPNA,Christos Athanasoulis,yes,30,2550,19,1779,GR,2013-07-04T13:06:39Z,3851
UCEmy9PSZsuKouJlsurRzC1A,Mikeius Official,yes,31,393000,296,743753,GR,2012-07-11T12:43:05Z,4209
UCyS-VOHB3LddD700hP0XtmA,mathgreece,yes,32,21600,505,30286,GR,2008-03-01T16:27:10Z,5802
UCz8QOKvQ0WW476fCehHiS1A,PCsteps.gr,yes,33,200000,910,389755,GR,2015-09-22T23:26:35Z,3041
UCNzIt2rpwadPI7p94XvLkuA,Πρακτική Σκέψη,yes,34,111000,191,82793,GR,2017-05-13T13:43:05Z,2442
UCiIPiiSSWfLEztgkK0M4uNg,Σκληροί της Ιστορίας,yes,35,56400,56,41973,GR,2019-06-18T13:17:58Z,1676
UCvmkLmnIN-Z0HJEObrlIcdg,Ioanna Fo,yes,36,60700,877,75969,GR,2011-08-21T20:55:28Z,4534
UC6yShigZ31iFqQUAj8QEFvQ,Money Minority,yes,37,24200,148,8990,GR,2020-04-16T09:07:46.090699Z,1373
UCthUKUdCLSe0P-wyVLE9XeQ,Chris Tsounis,yes,38,94200,1163,160020,GR,2007-10-03T14:16:24Z,5952
UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,yes,39,21000000,509,36879132,not set,2007-07-30T20:43:33Z,6017
UCeQEKFH31vvD-InkTGSvCrA,brusspup,yes,40,2800000,217,9592578,not set,2008-10-24T01:20:52Z,5566
UCTwi6wQYhnSWpMgJA4d3sdw,KhanAcademyGreek,yes,41,7730,963,16331,US,2011-11-04T18:07:25Z,4459
UCoxcjq-8xIDTYp3uz647V5A,Numberphile,yes,42,4430000,709,6566588,not set,2011-09-15T12:45:01Z,4509
UCDom90xOqP4avehFjSJO6NA,Sick Science!,yes,43,948000,669,5596969,US,2007-06-14T13:33:50Z,6063
UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,yes,44,11400000,374,11707325,US,2006-04-04T04:12:24Z,6500
UCGi_crMdUZnrcsvkCa8pt-g,Alltime10s,yes,45,5490000,1374,14232907,US,2010-01-26T11:28:08Z,5106
UC2LZO6swZ9SLUEOks3WnsfA,2veritasium,yes,46,573000,51,228432,not set,2012-07-17T08:37:52Z,4203
UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys,yes,47,15000000,334,25640064,US,2010-08-15T13:51:49Z,4905
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,yes,48,14600000,384,23537184,US,2010-07-21T07:18:02Z,4930
UCvGMGQC8gNkd4gwxSbABIlw,Quirkology,yes,49,2420000,102,5610854,GB,2007-04-22T11:11:19Z,6116
UCOGeU-1Fig3rrDjhm9Zs_wg,Vihart,yes,50,1450000,132,1520917,not set,2009-06-08T02:34:21Z,5339
UC2C_jShtL725hvbm1arSV9w,CGP Grey,yes,51,6090000,190,9797581,GB,2010-08-12T20:12:29Z,4908
